mois,station,nombre_jours_pluvieux,precipitations_en_millimetres,feuille
Septembre,Manoubia,6,47.5,Feuil1
Septembre,CRDA Bouchoucha,6,75.0,Feuil1
Septembre,Tunis Carthage,6,97.4,Feuil1
Septembre,Pepiniere Gammarth,6,70.5,Feuil1
Septembre,Belvedere,5,98.9,Feuil1
Septembre,Sidi Hassine,5,24.8,Feuil1
Septembre,SMVDA El Attar,2,36.2,Feuil1
Septembre,SMVDA Borj Chakir,5,24.5,Feuil1
Septembre,El Hrayria,6,40.5,Feuil1
Septembre,Pepiniere El Agba,6,41.0,Feuil1
Octobre,Manoubia,7,106.1,Feuil1
Octobre,CRDA Bouchoucha,8,156.0,Feuil1
Octobre,Tunis Carthage,7,136.4,Feuil1
Octobre,Pepiniere Gammarth,7,87.5,Feuil1
Octobre,Belvedere,5,147.8,Feuil1
Octobre,Sidi Hassine,4,143.5,Feuil1
Octobre,SMVDA El Attar,3,124.8,Feuil1
Octobre,SMVDA Borj Chakir,8,125.0,Feuil1
Octobre,El Hrayria,7,141.0,Feuil1
Octobre,Pepiniere El Agba,6,123.5,Feuil1
Novembre,Manoubia,4,7.4,Feuil1
Novembre,CRDA Bouchoucha,5,11.5,Feuil1
Novembre,Tunis Carthage,5,15.3,Feuil1
Novembre,Pepiniere Gammarth,4,17.0,Feuil1
Novembre,Belvedere,5,9.4,Feuil1
Novembre,Sidi Hassine,3,5.5,Feuil1
Novembre,SMVDA El Attar,4,25.8,Feuil1
Novembre,SMVDA Borj Chakir,9,21.5,Feuil1
Novembre,El Hrayria,4,12.9,Feuil1
Novembre,Pepiniere El Agba,5,13.5,Feuil1
Decembre,Manoubia,2,24.0,Feuil1
Decembre,CRDA Bouchoucha,3,35.5,Feuil1
Decembre,Tunis Carthage,2,16.4,Feuil1
Decembre,Pepiniere Gammarth,2,42.0,Feuil1
Decembre,Belvedere,3,24.8,Feuil1
Decembre,Sidi Hassine,3,40.7,Feuil1
Decembre,SMVDA El Attar,3,95.0,Feuil1
Decembre,SMVDA Borj Chakir,5,43.0,Feuil1
Decembre,El Hrayria,3,32.6,Feuil1
Decembre,Pepiniere El Agba,3,34.5,Feuil1
Janvier,Manoubia,10,49.8,Feuil1
Janvier,CRDA Bouchoucha,10,62.0,Feuil1
Janvier,Tunis Carthage,10,57.2,Feuil1
Janvier,Pepiniere Gammarth,10,66.0,Feuil1
Janvier,Belvedere,10,64.8,Feuil1
Janvier,Sidi Hassine,10,59.6,Feuil1
Janvier,SMVDA El Attar,3,24.4,Feuil1
Janvier,SMVDA Borj Chakir,14,65.5,Feuil1
Janvier,El Hrayria,10,65.9,Feuil1
Janvier,Pepiniere El Agba,10,67.5,Feuil1
Fevrier,Manoubia,4,29.2,Feuil1
Fevrier,CRDA Bouchoucha,4,24.0,Feuil1
Fevrier,Tunis Carthage,4,36.6,Feuil1
Fevrier,Pepiniere Gammarth,3,37.0,Feuil1
Fevrier,Belvedere,4,30.8,Feuil1
Fevrier,Sidi Hassine,4,18.5,Feuil1
Fevrier,SMVDA El Attar,0,0.0,Feuil1
Fevrier,SMVDA Borj Chakir,5,26.5,Feuil1
Fevrier,El Hrayria,4,27.5,Feuil1
Fevrier,Pepiniere El Agba,3,21.0,Feuil1
Mars,Manoubia,2,35.5,Feuil1
Mars,CRDA Bouchoucha,3,36.0,Feuil1
Mars,Tunis Carthage,3,39.2,Feuil1
Mars,Pepiniere Gammarth,3,46.0,Feuil1
Mars,Belvedere,3,33.3,Feuil1
Mars,Sidi Hassine,3,65.0,Feuil1
Mars,SMVDA El Attar,0,0.0,Feuil1
Mars,SMVDA Borj Chakir,4,54.5,Feuil1
Mars,El Hrayria,3,51.8,Feuil1
Mars,Pepiniere El Agba,3,53.5,Feuil1
Avril,Manoubia,2,7.5,Feuil1
Avril,CRDA Bouchoucha,2,10.0,Feuil1
Avril,Tunis Carthage,2,12.0,Feuil1
Avril,Pepiniere Gammarth,1,1.5,Feuil1
Avril,Belvedere,2,9.5,Feuil1
Avril,Sidi Hassine,2,14.5,Feuil1
Avril,SMVDA El Attar,0,0.0,Feuil1
Avril,SMVDA Borj Chakir,3,14.5,Feuil1
Avril,El Hrayria,2,11.5,Feuil1
Avril,Pepiniere El Agba,2,10.0,Feuil1
Mai,Manoubia,5,30.5,Feuil1
Mai,CRDA Bouchoucha,6,36.0,Feuil1
Mai,Tunis Carthage,5,30.0,Feuil1
Mai,Pepiniere Gammarth,5,32.0,Feuil1
Mai,Belvedere,5,35.2,Feuil1
Mai,Sidi Hassine,6,41.0,Feuil1
Mai,SMVDA El Attar,1,22.0,Feuil1
Mai,SMVDA Borj Chakir,6,50.0,Feuil1
Mai,El Hrayria,6,44.3,Feuil1
Mai,Pepiniere El Agba,6,46.0,Feuil1
Juin,Manoubia,0,0.0,Feuil1
Juin,CRDA Bouchoucha,0,0.0,Feuil1
Juin,Tunis Carthage,0,0.0,Feuil1
Juin,Pepiniere Gammarth,0,0.0,Feuil1
Juin,Belvedere,0,0.0,Feuil1
Juin,Sidi Hassine,0,0.0,Feuil1
Juin,SMVDA El Attar,0,0.0,Feuil1
Juin,SMVDA Borj Chakir,0,0.0,Feuil1
Juin,El Hrayria,0,0.0,Feuil1
Juin,Pepiniere El Agba,0,0.0,Feuil1
Juillet,Manoubia,0,0.0,Feuil1
Juillet,CRDA Bouchoucha,0,0.0,Feuil1
Juillet,Tunis Carthage,0,0.0,Feuil1
Juillet,Pepiniere Gammarth,0,0.0,Feuil1
Juillet,Belvedere,0,0.0,Feuil1
Juillet,Sidi Hassine,0,0.0,Feuil1
Juillet,SMVDA El Attar,0,0.0,Feuil1
Juillet,SMVDA Borj Chakir,0,0.0,Feuil1
Juillet,El Hrayria,0,0.0,Feuil1
Juillet,Pepiniere El Agba,0,0.0,Feuil1
Aout,Manoubia,3,38.4,Feuil1
Aout,CRDA Bouchoucha,3,37.0,Feuil1
Aout,Tunis Carthage,2,22.4,Feuil1
Aout,Pepiniere Gammarth,2,23.5,Feuil1
Aout,Belvedere,2,27.6,Feuil1
Aout,Sidi Hassine,3,39.0,Feuil1
Aout,SMVDA El Attar,3,50.5,Feuil1
Aout,SMVDA Borj Chakir,3,54.0,Feuil1
Aout,El Hrayria,3,48.0,Feuil1
Aout,Pepiniere El Agba,3,45.5,Feuil1
