mois,station,nombre_jours_pluvieux,precipitations_en_millimetres,feuille
Septembre,Manoubia,3,52.0,Feuil1
Septembre,CRDA Bouchoucha,4,63.0,Feuil1
Septembre,Tunis Carthage,4,53.0,Feuil1
Septembre,Pepiniere Gammarth,3,62.5,Feuil1
Septembre,Belvedere,3,67.4,Feuil1
Septembre,Sidi Hassine,4,66.5,Feuil1
Septembre,SMVDA El Attar,2,49.0,Feuil1
Septembre,SMVDA Borj Chakir,5,98.0,Feuil1
Septembre,El Hrayria,4,75.0,Feuil1
Septembre,Pepiniere El Agba,4,123.0,Feuil1
Octobre,Manoubia,5,103.2,Feuil1
Octobre,CRDA Bouchoucha,6,120.0,Feuil1
Octobre,Tunis Carthage,5,140.9,Feuil1
Octobre,Pepiniere Gammarth,6,121.5,Feuil1
Octobre,Belvedere,5,115.8,Feuil1
Octobre,Sidi Hassine,4,64.0,Feuil1
Octobre,SMVDA El Attar,3,36.5,Feuil1
Octobre,SMVDA Borj Chakir,4,44.0,Feuil1
Octobre,El Hrayria,5,73.5,Feuil1
Octobre,Pepiniere El Agba,4,66.0,Feuil1
Novembre,Manoubia,9,35.6,Feuil1
Novembre,CRDA Bouchoucha,14,41.0,Feuil1
Novembre,Tunis Carthage,11,34.4,Feuil1
Novembre,Pepiniere Gammarth,11,53.5,Feuil1
Novembre,Belvedere,7,19.7,Feuil1
Novembre,Sidi Hassine,12,29.0,Feuil1
Novembre,SMVDA El Attar,2,15.5,Feuil1
Novembre,SMVDA Borj Chakir,10,29.5,Feuil1
Novembre,El Hrayria,11,31.5,Feuil1
Novembre,Pepiniere El Agba,11,39.0,Feuil1
Decembre,Manoubia,7,60.3,Feuil1
Decembre,CRDA Bouchoucha,7,63.0,Feuil1
Decembre,Tunis Carthage,7,52.8,Feuil1
Decembre,Pepiniere Gammarth,7,70.5,Feuil1
Decembre,Belvedere,7,71.0,Feuil1
Decembre,Sidi Hassine,7,59.0,Feuil1
Decembre,SMVDA El Attar,4,47.8,Feuil1
Decembre,SMVDA Borj Chakir,8,51.0,Feuil1
Decembre,El Hrayria,6,66.6,Feuil1
Decembre,Pepiniere El Agba,7,66.5,Feuil1
Janvier,Manoubia,2,6.5,Feuil1
Janvier,CRDA Bouchoucha,2,7.0,Feuil1
Janvier,Tunis Carthage,2,6.4,Feuil1
Janvier,Pepiniere Gammarth,1,1.0,Feuil1
Janvier,Belvedere,2,10.3,Feuil1
Janvier,Sidi Hassine,2,8.5,Feuil1
Janvier,SMVDA El Attar,1,19.0,Feuil1
Janvier,SMVDA Borj Chakir,4,16.5,Feuil1
Janvier,El Hrayria,2,9.0,Feuil1
Janvier,Pepiniere El Agba,2,7.5,Feuil1
Fevrier,Manoubia,1,8.0,Feuil1
Fevrier,CRDA Bouchoucha,1,4.0,Feuil1
Fevrier,Tunis Carthage,1,5.0,Feuil1
Fevrier,Pepiniere Gammarth,1,1.5,Feuil1
Fevrier,Belvedere,1,1.5,Feuil1
Fevrier,Sidi Hassine,1,5.5,Feuil1
Fevrier,SMVDA El Attar,1,0.2,Feuil1
Fevrier,SMVDA Borj Chakir,1,5.0,Feuil1
Fevrier,El Hrayria,1,6.0,Feuil1
Fevrier,Pepiniere El Agba,1,6.5,Feuil1
Mars,Manoubia,9,60.0,Feuil1
Mars,CRDA Bouchoucha,9,62.0,Feuil1
Mars,Tunis Carthage,7,56.6,Feuil1
Mars,Pepiniere Gammarth,9,69.0,Feuil1
Mars,Belvedere,8,57.5,Feuil1
Mars,Sidi Hassine,8,57.0,Feuil1
Mars,SMVDA El Attar,7,74.2,Feuil1
Mars,SMVDA Borj Chakir,10,70.0,Feuil1
Mars,El Hrayria,8,73.7,Feuil1
Mars,Pepiniere El Agba,8,77.0,Feuil1
Avril,Manoubia,8,80.5,Feuil1
Avril,CRDA Bouchoucha,9,104.5,Feuil1
Avril,Tunis Carthage,9,109.8,Feuil1
Avril,Pepiniere Gammarth,7,80.0,Feuil1
Avril,Belvedere,8,101.0,Feuil1
Avril,Sidi Hassine,8,107.3,Feuil1
Avril,SMVDA El Attar,2,45.2,Feuil1
Avril,SMVDA Borj Chakir,8,99.0,Feuil1
Avril,El Hrayria,7,96.8,Feuil1
Avril,Pepiniere El Agba,7,104.0,Feuil1
Mai,Manoubia,0,0.0,Feuil1
Mai,CRDA Bouchoucha,0,0.0,Feuil1
Mai,Tunis Carthage,0,0.0,Feuil1
Mai,Pepiniere Gammarth,0,0.0,Feuil1
Mai,Belvedere,0,0.0,Feuil1
Mai,Sidi Hassine,0,0.0,Feuil1
Mai,SMVDA El Attar,0,0.0,Feuil1
Mai,SMVDA Borj Chakir,0,0.0,Feuil1
Mai,El Hrayria,0,0.0,Feuil1
Mai,Pepiniere El Agba,0,0.0,Feuil1
Juin,Manoubia,1,0.7,Feuil1
Juin,CRDA Bouchoucha,1,0.5,Feuil1
Juin,Tunis Carthage,1,1.0,Feuil1
Juin,Pepiniere Gammarth,1,3.0,Feuil1
Juin,Belvedere,1,1.5,Feuil1
Juin,Sidi Hassine,0,0.0,Feuil1
Juin,SMVDA El Attar,1,1.0,Feuil1
Juin,SMVDA Borj Chakir,0,0.0,Feuil1
Juin,El Hrayria,1,2.0,Feuil1
Juin,Pepiniere El Agba,0,0.0,Feuil1
Juillet,Manoubia,0,0.0,Feuil1
Juillet,CRDA Bouchoucha,0,0.0,Feuil1
Juillet,Tunis Carthage,0,0.0,Feuil1
Juillet,Pepiniere Gammarth,0,0.0,Feuil1
Juillet,Belvedere,0,0.0,Feuil1
Juillet,Sidi Hassine,0,0.0,Feuil1
Juillet,SMVDA El Attar,0,0.0,Feuil1
Juillet,SMVDA Borj Chakir,0,0.0,Feuil1
Juillet,El Hrayria,0,0.0,Feuil1
Juillet,Pepiniere El Agba,0,0.0,Feuil1
Aout,Manoubia,0,0.0,Feuil1
Aout,CRDA Bouchoucha,0,0.0,Feuil1
Aout,Tunis Carthage,0,0.0,Feuil1
Aout,Pepiniere Gammarth,0,0.0,Feuil1
Aout,Belvedere,0,0.0,Feuil1
Aout,Sidi Hassine,0,0.0,Feuil1
Aout,SMVDA El Attar,0,0.0,Feuil1
Aout,SMVDA Borj Chakir,0,0.0,Feuil1
Aout,El Hrayria,0,0.0,Feuil1
Aout,Pepiniere El Agba,0,0.0,Feuil1
