الولاية,الموسسة,القطاع,نوع_التكوين,طاقة_الايواء,الاختصاص,المستوى,شروط_الانتداب,العنوان,الهاتف,العنوان_الالكتروني,feuille
أريانة,المعهد الوطني للبيداغوجيا والتكوين المستمر الفلاحي بسيدي ثابت,فلاحة,تكوين مستمر,60,هندسة التكوين وتكوين المكونين والمرشدين والإطارات,تكوين مستمر,المكونين والمرشدين والإطارات,2080.0,71552233.0,,معطيات
أريانة,مركز التكوين المهني الفلاحي في قطاع تربية الدواجن بسيدي ثابت,فلاحة,تكوين أساسي,0,تربية دواجن اللحم وتفريخ الدواجن,شهادة المهارة,دون السنة التاسعة وإلى حدود السنة السادسة ابتدائي منهاة,2080.0,71552017.0,,معطيات
أريانة,مركز التكوين المهني الفلاحي في قطاع تربية الدواجن بسيدي ثابت,فلاحة,تكوين مستمر,20,تربية الدواجن,تكوين مستمر,جميع المستويات,2080.0,71552017.0,,معطيات
أريانة,مركز التكوين المهني الفلاحي في قطاع تربية البقر بسيدي ثابت,فلاحة,تكوين مستمر,30,تربية الأبقار,تكوين مستمر,جميع المستويات,2080.0,71552434.0,,معطيات
القصرين,مركز التكوين المهني الفلاحي بسبيطلة,فلاحة,تكوين أساسي,30,زراعة وانتاج الأشجار المثمرة,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,1250.0,77465051.0,,معطيات
القصرين,مركز التكوين المهني الفلاحي بسبيطلة,فلاحة,تكوين مستمر,18,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,1250.0,77465051.0,,معطيات
القيروان,المركز القطاعي للتكوين المهني الفلاحي في تهيئة المناطق السقوية ببروطة,فلاحة,تكوين أساسي,25,التهيئة والتصرف في المناطق السقوية,مؤهّل تقني مهني,إنهاء السنة الثانية من التعليم الثانوي,3100.0,77323401.0,,معطيات
القيروان,المركز القطاعي للتكوين المهني الفلاحي في تهيئة المناطق السقوية ببروطة,فلاحة,تكوين أساسي,25,تهيئة المناطق السقوية,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,3100.0,77323401.0,,معطيات
القيروان,المركز القطاعي للتكوين المهني الفلاحي في تهيئة المناطق السقوية ببروطة,فلاحة,تكوين مستمر,30,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,3100.0,77323401.0,,معطيات
القيروان,مركز التكوين المهني الفلاحي بالوسلاتية,فلاحة,تكوين مستمر,60,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,3120.0,77900726.0,,معطيات
المهدية,مركز التكوين المهني الفلاحي بالسواسي,فلاحة,تكوين أساسي,20,تربية الأرانب,شهادة المهارة,دون السنة التاسعة وإلى حدود السنة السادسة ابتدائي منهاة,5140.0,73610320.0,,معطيات
المهدية,مركز التكوين المهني الفلاحي بالسواسي,فلاحة,تكوين مستمر,20,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,5140.0,73610320.0,,معطيات
المهدية,مركز التكوين المهني للصيد البحري بالمهدية,صيد بحري,تكوين أساسي,25,محركاتي صيد بحري,مؤهّل تقني مهني,إنهاء السنة الثانية من التعليم الثانوي,5100.0,73687113.0,,معطيات
المهدية,مركز التكوين المهني للصيد البحري بالمهدية,صيد بحري,تكوين أساسي,25,ربان صيد ساحلي,مؤهّل تقني مهني,إنهاء السنة الثانية من التعليم الثانوي,5100.0,73687113.0,,معطيات
باجة,المعهد القطاعي للتكوين المهني الفلاحي في تربية البقر بتيبار,فلاحة,تكوين أساسي,65,تربية البقر,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,9022.0,78475104.0,lsfpab.thibar@iresa.agrinet.tn,معطيات
باجة,المعهد القطاعي للتكوين المهني الفلاحي في تربية البقر بتيبار,فلاحة,تكوين أساسي,65,تربية البقر,مؤهّل تقني مهني,إنهاء السنة الثانية من التعليم الثانوي,9022.0,78475104.0,lsfpab.thibar@iresa.agrinet.tn,معطيات
باجة,المعهد القطاعي للتكوين المهني الفلاحي في تربية البقر بتيبار,فلاحة,تكوين مستمر,30,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,9022.0,78475104.0,lsfpab.thibar@iresa.agrinet.tn,معطيات
