apia,adresse,telephone,email,feuille
Siège,"Rue Alain Savary, 1003 Tunis El Khadra",(+216) 71 771 300,prom.agri@apia.com.tn,Feuil1
Ariana,Imeuble Ben Mahmoud appartement N°39 Résidence El Ouroud 2080 Ariana,(+216) 70 730 710,dr.ariana@apia.com.tn,Feuil1
Manouba,"1,Rue khaled Ibn El Walid, 2010 Manouba",(+216) 70 615 765,dr.manouba@apia.com.tn,Feuil1
Ben Arous,"309,Rue Faiçal lbn Abdelaziz Nouvelle Medina 2063 Ben Arous",(+216) 71 310 746,dr.benarous@apia.com.tn,Feuil1
Nabeul,"31, rue Mongi Slim 8000 Nabeul",(+216) 72 287 010,dr.nabeul@apia.com.tn,Feuil1
Zaghouan,"40,Bis Immeuble de la CTAMA 1100 Zaghouan",(+216) 72 675 476,dr.zaghouan@apia.com.tn,Feuil1
Bizerte,"68,Rue du 2 Mars 1934, 7000 Bizerte, B.P 110 - 7000 Bizerte",(+216) 72 432 650,dr.bizerte@apia.com.tn,Feuil1
Beja,Avenue Habib Bourguiba Immeuble de la Ctamma 9000 Beja,(+216) 78 451 652,dr.beja@apia.com.tn,Feuil1
Jendouba,Rue Khemais El Hajri Immeuble El Ayari 8100 Jendouba,(+216) 78 600 741,dr.jendouba@apia.com.tn,Feuil1
Le Kef,Immeuble Banque de l'habitat 1ére Etage. Avenue Mongi Slim 7100 le Kef,(+216) 78 224 398,dr.kef@apia.com.tn,Feuil1
Siliana,Rue des martyrs Immeuble n4 6100 Siliana,(+216) 78 872 174,dr.siliana@apia.com.tn,Feuil1
Kairouan,"Av.Imam Sahnoun, Maison de l'Agriculteur 3100 kairouan",(+216) 77 232 878,dr.kairouan@apia.com.tn,Feuil1
Kasserine,"34,Rue de la république, Immeuble Yahyaoui 1200 Kasserine",(+216) 77 474 662,dr.kasserine@apia.com.tn,Feuil1
Sidi Bouzid,Immeuble Samia Jellali croisement Av. H.Bourguiba & rue de Lybie 9100 Sidi Bouzid,(+216) 76 632 539,dr.sidibouzid@apia.com.tn,Feuil1
Sousse,Rue 22 Janvier 1952 4000 Sousse,(+216) 73 229 090,dr.sousse@apia.com.tn,Feuil1
Monastir,Avenue Taieb M'hiri Immeuble Billel el Bahri 1ére étage 5000 Monastir,(+216) 73 463 454,dr.monastir@apia.com.tn,Feuil1
Mahdia,Rue 2 Mars 1934  Immeuble Société Foncière 5100 Mahdia,(+216) 73 694 500,dr.mahdia@apia.com.tn,Feuil1
Sfax,"72,Rue de Kairouan Immeuble Sellami 3000 Sfax",(+216) 74 226 035,dr.sfax@apia.com.tn,Feuil1
Gafsa,Avenue Taieb Glanza N°129 Doueli 2100 Gafsa,(+216) 76 220 706,dr.gafsa@apia.com.tn,Feuil1
Tozeur,Avenue Farhat Hached en face de la gare routière 2200 Tozeur,(+216) 76 452 690,dr.tozeur@apia.com.tn,Feuil1
Kebili,Immeuble Enassim Place 7 Novembre 4200 Kebili,(+216) 75 491 085,dr.kebili@apia.com.tn,Feuil1
Gabes,Groisement Av Farhat Hached  / Avenue Taha Hassine 3ème étage 6000 Gabes,(+216) 75 275 830,dr.gabes@apia.com.tn,Feuil1
Medenine,Avenue Habib Bourguiba Immeuble Coulisée 4100 Medenine,(+216) 75 642 332,dr.mednine@apia.com.tn,Feuil1
Tataouine,Immeuble Salem Jouid 139 Av. H.Bourguiba 3200 Tataouine,(+216) 75 862 800,dr.tataouine@apia.com.tn,Feuil1
