annee,delegation,superficies_irrigables_ha,superficies_irriguees_ha,superficies_exploitees_ha,feuille
2024,Ben Arous,,,,Feuil1
2024,Médina Jedida,,,,Feuil1
2024,Mourouj,,,,Feuil1
2024,Hammam-Lif,,,,Feuil1
2024,Hammam-Chott,,,,Feuil1
2024,Bou Mhel,,,,Feuil1
2024,Ezzahra,,,,Feuil1
2024,Rades,,,,Feuil1
2024,Megrine,,,,Feuil1
2024,M'hamdia,260.0,230.0,240.0,Feuil1
2024,Fouchana,,,,Feuil1
2024,Mornag,6270.0,5580.0,5770.0,Feuil1
2024,TOTAL,6530.0,5810.0,6010.0,Feuil1
2025,Ben Arous,,,,Feuil1
2025,Médina Jedida,,,,Feuil1
2025,Mourouj,,,,Feuil1
2025,Hammam-Lif,,,,Feuil1
2025,Hammam-Chott,,,,Feuil1
2025,Bou Mhel,,,,Feuil1
2025,Ezzahra,,,,Feuil1
2025,Rades,,,,Feuil1
2025,Megrine,,,,Feuil1
2025,M'hamdia,260.0,230.0,240.0,Feuil1
2025,Fouchana,,,,Feuil1
2025,Mornag,6270.0,5580.0,5770.0,Feuil1
2025,TOTAL,6530.0,5810.0,6010.0,Feuil1
