annee,delegation,superficies_irrigables_ha,superficies_irriguees_ha,superficies_exploitees_ha,feuille
2024,Ben Arous,,,,Feuil1
2024,Médina Jedida,,,,Feuil1
2024,Mourouj,,,,Feuil1
2024,Hammam-Lif,,,,Feuil1
2024,Hammam-Chott,,,,Feuil1
2024,Bou Mhel,300.0,267.0,276.0,Feuil1
2024,Ezzahra,,,,Feuil1
2024,Rades,,,,Feuil1
2024,Megrine,,,,Feuil1
2024,M'hamdia,1170.0,1041.0,1076.0,Feuil1
2024,Fouchana,1360.0,1210.0,1251.0,Feuil1
2024,Mornag,1740.0,1548.0,1600.0,Feuil1
2024,TOTAL,4570.0,4066.0,4203.0,Feuil1
2025,Ben Arous,,,,Feuil1
2025,Médina Jedida,,,,Feuil1
2025,Mourouj,,,,Feuil1
2025,Hammam-Lif,,,,Feuil1
2025,Hammam-Chott,,,,Feuil1
2025,Bou Mhel,300.0,267.0,276.0,Feuil1
2025,Ezzahra,,,,Feuil1
2025,Rades,,,,Feuil1
2025,Megrine,,,,Feuil1
2025,M'hamdia,1170.0,1041.0,1076.0,Feuil1
2025,Fouchana,1360.0,1210.0,1251.0,Feuil1
2025,Mornag,1740.0,1548.0,1600.0,Feuil1
2025,TOTAL,4570.0,4066.0,4203.0,Feuil1
