unnamed_0,عمليات_الاستثمار,منحة,الاستثمار,feuille
صفاقس المدينة,10.0,24.356,76.193,Feuil1
صفاقس الغربية,1.0,1.185,3.95,Feuil1
ساقية الزيت,,,,Feuil1
سلقية الداير,,,,Feuil1
صفاقس الجنوبية,,,,Feuil1
طينة,1.0,1.32,4.4,Feuil1
عقارب,,,,Feuil1
جبنيانة,3.0,5.433,17.028,Feuil1
العامرة,4.0,7.292,23.309,Feuil1
الحنشة,,,,Feuil1
منزل شاكر,,,,Feuil1
الغريبة,2.0,3.0,9.997,Feuil1
بئر علي,,,,Feuil1
الصخيرة,2.0,3.682,12.271,Feuil1
المحرس,5.0,3.88,11.848,Feuil1
قرقنة,107.0,248.316,786.92,Feuil1
الجملة,135.0,298.464,945.916,Feuil1
