societe,nature_du_produit,quantite_kilos
المتوسطية,قشريات حية,36.2
المتوسطية,رخويات مثلجة,185.0
المتوسطية,أسماك مثلجة,2787.5
المتوسطية,تربية مائية,60.0
أزباسكا,قشريات مجمدة,23546.0
ديدون ماري,قشريات مثلجة,425.7
ديدون ماري,قشريات مجمدة,133.0
ديدون ماري,رخويات مثلجة,140.0
ديدون ماري,أسماك مثلجة,2260.5
ديدون ماري,أسماك مجمدة,1908.0
بن حميدة,أسماك مثلجة,384.0
أكيمار,قشريات مجمدة,1799.0
ماديترنيان باسكا,نصف مصبرات سمك أزرق,14822.0
سليماكس,رخويات مثلجة,20.5
سليماكس,رخويات مجمدة,1570.0
سليماكس,أسماك مثلجة,3319.7
موليس دوس,رخويات حية,654.0
