annee,delagation,arrondissement,non_proprietaire_huilerie,nombre_huilerie,type_huilerie,capacite_transformation,capacite_stockage,remarque,telehpone,feuille
2023,السرس,اللاس,-ورثة علي الجريدي,1,تقليدية,8,6,,21437680,Feuil1
2023,السرس,اللاس,"-معصرة الامل ""الطاهر عبد اللاوي""",1,تقليدية,12,12,,98568822,Feuil1
2023,السرس,اللاس,"-معصرة النور ""عماد عبد اللاوي""",1,تقليدية,8,6,,94478115,Feuil1
2023,السرس,السرس,"-معصرة هلال  ""زهير هلال""",1,نظام متواصل,35,70,,20237383,Feuil1
2023,السرس,اللاس,-محمد الشاوش بالعمري,1,تقليدية,4,2,,,Feuil1
2023,السرس,السرس,"-معصرة البركة ""عوني عبد اللاوي""",1,نظام متواصل,18,50,معصرة مغلقة هذا الموسم,24327832,Feuil1
2023,نبر,الشتاتلة,-الدراجي بن محمد ناطور,1,تقليدية,8,30,,96792095,Feuil1
2023,نبر,نبر,-إبراهيم الدشراوي,1,نظام متواصل,25,30,,25900174,Feuil1
2023,نبر,نبر,-عبد الرؤوف الزروقي,1,نظام متواصل,100,170,,285 122 29-22 2  989 98,Feuil1
2023,الكاف الشرقية,الزعفران-المحطة,"-المعصرة الجبلية بالشمال ""صالح شندول""",1,نظام متواصل,70,435,,,Feuil1
2023,الكاف الشرقية,الزعفران,-ورثة الصحبي بربوش,1,نظام متواصل,35,70,,455326 98,Feuil1
2023,تاجروين,سيدي مطير,-صالح بن عمر الجبالي,1,نظام متواصل,80,275,معصرة مغلقة هذا الموسم,,Feuil1
2023,تاجروين,سيدي مطير,"-معصرة زيت بابا ""صالح بن خالد الجبابلي""",1,نظام متواصل,35,50,,461 891 98,Feuil1
2023,تاجروين,تاجروين الجنوبية,-معصرة بالوالي,1,نظام متواصل,35,50,معصرة مغلقة هذا الموسم,,Feuil1
2023,الدهماني,شركة الصابون,"معصرة شركة SONO ""مختار الشتيوي و أبنائه""",1,نظام متواصل,80,280,,,Feuil1
2024,السرس,اللاس,-ورثة علي الجريدي,1,تقليدية,8,6,,21437680,Feuil1
2024,السرس,اللاس,"-معصرة الامل ""الطاهر عبد اللاوي""",1,تقليدية,12,12,,98568822,Feuil1
2024,السرس,اللاس,"-معصرة النور ""عماد عبد اللاوي""",1,تقليدية,8,6,,94478115,Feuil1
2024,السرس,السرس,"-معصرة هلال  ""زهير هلال""",1,نظام متواصل,45,70,,20237383,Feuil1
2024,نبر,نبر,-إبراهيم الدشراوي,1,نظام متواصل,25,30,,25900174,Feuil1
2024,نبر,نبر,-عبد الرؤوف الزروقي,1,نظام متواصل,100,170,,98989222,Feuil1
2024,الكاف الشرقية,الزعفران-المحطة,"-المعصرة الجبلية بالشمال ""صالح شندول""",1,نظام متواصل,70,435,,,Feuil1
2024,الكاف الشرقية,الزعفران,-ورثة الصحبي بربوش,1,نظام متواصل,35,70,,455326 98,Feuil1
2024,تاجروين,سيدي مطير,"-معصرة زيت بابا ""صالح بن خالد الجبابلي""",1,نظام متواصل,35,50,,,Feuil1
2024,تاجروين,تاجروين الجنوبية,-معصرة بالوالي,1,نظام متواصل,35,50,معصرة مغلقة هذا الموسم,,Feuil1
2024,الدهماني,شركة الصابون,"-معصرة شركة SONO ""مختار الشتيوي وابنائه""",1,نظام متواصل,80,280,,,Feuil1
