gouvrnorat,projet,speculation,telephone,region,feuille
Ariana,ContrôlMed,"Arboriclture, PAM",52626400.0,Sidi Thabet,Feuil1
Ariana,GAIA FERMEtherapeutique Sidi THABET,"Arboriculture, Culture maraichère,Grande culture, PAM",29535789.0,Sidi Thabet,Feuil1
Béja,GDA Khlinj,Apiculture,98247555.0,Nefza,Feuil1
Béja,Huilerie Biologique Ben Ismaïl,"Olivier, Trituration, Conditionnement  et exportation d'huile d'olive,",96122831.0,Medjez el Beb,Feuil1
Béja,UCPA IAGH عياض,Olivier,9817808797217296.0,SIDI AMER OUED ZARGA,Feuil1
Béja,UCPA LOUBIRA,Olivier,96171507.0,SIDI AMER OUED ZARGA,Feuil1
Béja,STE de services Agricoles Ksar chikh,Grande culture,24521234.0,Medjez el Beb,Feuil1
Ben Arous,Societé BIOLIVA MED COMPANY,"Trituration, Conditionnement  et exportation d'huile d'olive,",25484864.0,Rades,Feuil1
Bizerte,société nour al ain,Olivier,97754402.0,Utique,Feuil1
Bizerte,Ferme Henna Bio,Arboriculture,97112870.0,El Alia Bizerte,Feuil1
Bizerte,Henchir Oum El Jannah,"Olivier, Trituration, Conditionnement  et exportation d'huile d'olive,",27791620.0,Mateur,Feuil1
Bizerte,Tergoulech Bio,"Culture maraichères, PAM, Grande culture",98605848.0,Mateur,Feuil1
Bizerte,Société ferme Shiri,"élevage, Culture maraichéres, Fourrage, Arboriculture",92155018.0,Sejenen,Feuil1
Bizerte,AMIA,"Olivier, PAM, Grande culture, Jachère",24115673.0,Mateur,Feuil1
Bizerte,Société de developpement Al Habib,"Olivier, Fourrage, Jachère",98220991.0,Mateur,Feuil1
Bizerte,RAOUF GUIGA,"Arboriculture, Grande culture,Huile d'olive, brute",,Ras El jbal,Feuil1
Gabès,ASSOCIATION DE SAUVGARDE DE L'OASIS DE CHENINI,"Arboriculture, Fourrage, PAM",,Chenini,Feuil1
Gabès,SOCOBSA EL AMEL,Arboriculture,95957848.0,Merth,Feuil1
Gabès,GDA Merth 2,Arboriculture,96655801.0,Merth,Feuil1
Gabès,Bio-Palma,Dattes,,Merth,Feuil1
Gabès,EDEN LIFE,Spiruline,21114293.0,Merth,Feuil1
Gabès,Centre de formation professionnel ZAKRINE,,58726363.0,Merth,Feuil1
Gabès,Naturel solution,,55028698.0,Menzel Habib,Feuil1
Gabès,Spiru Invest,Spiruline,25065687.0,Chanchou,Feuil1
Gabès,STE TACAPE  HARVEST,"Arboriculture, Fourrage, Jachère, Huile d'olive vierge",21532312.0,Teboulbou,Feuil1
Jendouba,Douceur de Aïn Draham,,,Aïn Draham,Feuil1
Jendouba,graines de bonheur,Culture maraichère,27534533.0,Tabarka,Feuil1
Jendouba,Abdelmajid ABDELLAOUI,"Olivier, PAM",96691808.0,Ouad Mliz,Feuil1
Jendouba,SMSA Fontaines bénies,"Olivier , PAM, Cultures maraichèrs",,Aïn Draham,Feuil1
Kasserine,Mohamed raouafi,"PAM, Arboriculture, Cactus",98366154.0,Foussana,Feuil1
Kasserine,Ste Tunisienne Bio frech,"Cactus, PAM, Forêt. Valorisation des produits de Cactus, PAM, produits forestiers",,Foussana,Feuil1
Kasserine,SMSA Majelbel Abbess,"Arboriculture, Cactus , Pastorale, conservation et valorisarion et exportation des produits de cactus, huile d'olive",,Majel bel abbess,Feuil1
Kasserine,BIO Thala,Cactus. Valorisation des produits de Cactus,97311862.0,Thala,Feuil1
Kasserine,Société Tunisia Bio,Figue de barbarie,,Sbitla,Feuil1
Kasserine,Bio kasserine,"valorisation et coditionnement des produits forestiers, Cactus et huile d'olive",54030808.0,laayoun,Feuil1
Kasserine,SMSA El Ikhlass,Pistache et PAM,,majel bel abbess,Feuil1
Manouba,Huilerie Nefiss,"Huile d'olive vierge , Huile d'olive vierge lot C4",,,Feuil1
Manouba,GIL manouba,Cultures maraichéres,,Manouba,Feuil1
Manouba,La Riene de l'aube,Conditionnement et Valorisation des dattes,98347944.0,Bathan,Feuil1
Manouba,Henchir Tongar,,71854302.0,Tongar,Feuil1
Manouba,Oliveraie Boubaker,"Arboriculture, PAM, huile d'olive vierge",52032000.0,Bathan,Feuil1
Manouba,smac lelLa Kmar El baya,"Cactus, Arboriculture, Grande cultures, PAM. Valorisation des produits Agricolrs",98383000.0,Bathan,Feuil1
Médenine,STE SHAMBHALA,Vente de miel BIO,58719962.0,Djerba,Feuil1
Médenine,Ste AGRO DEV DJERBA,"Jachère, PAM.
Valorisation des PAM",99364186.0,Djerba,Feuil1
Médenine,SOCIETE EMERAUDE,"Olivier, Trituration d'huile d'olive",2251562.0,Zarzis,Feuil1
Médenine,Jektis AGRO,Conditionnement et Valorisation des dattes,98430122.0,Zarzis,Feuil1
Médenine,Ste Chemlali de production agricole,"Olivier, Trituration d'huile d'olive",,Zarzis,Feuil1
MONASTIR,Herbalya natural care,Cactus. Valorisation des produits de Cactus,97498405.0,Banen,Feuil1
MONASTIR,Société commerce ho ben amor el wifek,Trituration d'huile d'olive,94276981.0,Jammel,Feuil1
MONASTIR,Ste Huielerie El wifek ben amor,Olivier,94261031.0,Cherihal,Feuil1
MONASTIR,SOCIETE HUILERIE EL MANSOUR,"Olivier, Trituration d'huile d'olive",53707506.0,Beni hassan,Feuil1
MONASTIR,Société MEDITERROIR,"Arboriculture. Trutiration, conditionnement et exportation d'huile d'olive",54292777.0,Jammel,Feuil1
MONASTIR,Olivia punica,Olivier,54292777.0,Jammel,Feuil1
MONASTIR,Huilerie biologique el baraka,Olivier,97647885.0,Moknin,Feuil1
MONASTIR,Herbéos céline pharma,"Cactus, Arboriculture, PAM. Conservation et valorisation des produits de Cactus, d'arboriculture et des PAM",70287848.0,Khnis,Feuil1
MONASTIR,SOCIETE EZZITOUNA OIL DU SAHEL TUNISIEN,"Olivier, Trituration d'huile d'olive",,Jammel,Feuil1
MONASTIR,Exploitation agricole biologique habib hlel,Olivier,97640054.0,Jammel,Feuil1
MONASTIR,henchir ben romdhan,"Olivier, Trituration d'huile d'olive",24802802.0,Jammel,Feuil1
MONASTIR,Ste abeille hibar,Apiculture,22649269.0,Jammel,Feuil1
