annee,delegation,maraichage_t,cultures_industrielles_t,arboriculture_t,cerealiculture_t,legumineuses_t,fourrages_t,olives_t,feuille
2023,Ben Arous,,,,,,,,Feuil1
2023,Médina Jedida,,,,,,,,Feuil1
2023,Mourouj,,,,,,,,Feuil1
2023,Hammam-Lif,,,,,,,,Feuil1
2023,Hammam-Chott,,,,,,,,Feuil1
2023,Bou Mhel,1890.0,,2700.0,,,,152.0,Feuil1
2023,Ezzahra,,,,,,,,Feuil1
2023,Rades,,,,,,,,Feuil1
2023,Megrine,,,,,,,,Feuil1
2023,M'hamdia,820.0,0.0,3800.0,0.0,0.0,67.5,373.0,Feuil1
2023,Fouchana,2990.0,,5000.0,0.0,,,565.0,Feuil1
2023,Mornag,3947.0,,90379.0,7.6,0.0,1665.0,8110.0,Feuil1
2023,TOTAL,9647.0,0.0,101879.0,7.6,0.0,1732.5,9200.0,Feuil1
2024,Ben Arous,,,,,,,,Feuil1
2024,Médina Jedida,,,,,,,,Feuil1
2024,Mourouj,,,,,,,,Feuil1
2024,Hammam-Lif,,,,,,,,Feuil1
2024,Hammam-Chott,,,,77.0,,,,Feuil1
2024,Bou Mhel,1700.0,,2800.0,,,,144.0,Feuil1
2024,Ezzahra,,,,,,,,Feuil1
2024,Rades,,,,,,,,Feuil1
2024,Megrine,,,,,,,,Feuil1
2024,M'hamdia,450.0,160.0,4800.0,7848.7,220.0,15429.0,681.0,Feuil1
2024,Fouchana,2999.0,,6000.0,1049.0,26.0,4500.0,725.0,Feuil1
2024,Mornag,7308.0,50.0,115234.0,3565.15,37.0,7125.0,8250.0,Feuil1
2024,TOTAL,12457.0,210.0,128834.0,12539.85,283.0,27054.0,9800.0,Feuil1
2025,Ben Arous,,,,,,,,Feuil1
2025,Médina Jedida,,,,,,,,Feuil1
2025,Mourouj,,,,,,,,Feuil1
2025,Hammam-Lif,,,,,,,,Feuil1
2025,Hammam-Chott,,,,112.0,,,,Feuil1
2025,Bou Mhel,4100.0,,2750.0,,,,187.0,Feuil1
2025,Ezzahra,,,,,,,,Feuil1
2025,Rades,,,,,,,,Feuil1
2025,Megrine,,,,,,,,Feuil1
2025,M'hamdia,676.0,211.2,4600.0,11823.0,67.5,16921.4,928.0,Feuil1
2025,Fouchana,3570.0,28.845,5800.0,3787.0,,5399.6,983.0,Feuil1
2025,Mornag,9650.0,31.695999999999998,96179.0,11062.0,1665.0,12785.0,11802.0,Feuil1
2025,TOTAL,17996.0,242.896,109329.0,26784.0,1732.5,35106.0,13900.0,Feuil1
