النوع,variete,الكمية_بالطن,سعر_الجملة_الادنى,سعر_الجملة_الاقصى,سعر_التفصيل_الادنى,سعر_التفصيل_الاقصى,feuille
البطاطا,pomme de terre,3.3,1000.0,1600.0,1200.0,2000.0,Feuil1
البصل,oignon sec,15.5,600.0,850.0,900.0,1280.0,Feuil1
فلفل حار,piment piquant,8.6,800.0,1400.0,1180.0,1850.0,Feuil1
فلفل حلو,piment doux,1.6,1000.0,1600.0,1400.0,2080.0,Feuil1
الطماطم,tomate,14.6,800.0,1300.0,1180.0,1680.0,Feuil1
برتقال طمسون,thomson,,,,,,Feuil1
برتقال مالطي,maltaise,,,,,,Feuil1
كليمنتين(شنوة),clémentine,3.5,2000.0,3000.0,2500.0,3600.0,Feuil1
تفاح,pommes,12.6,1000.0,3800.0,1000.0,4600.0,Feuil1
اجاص,poires,8.9,1000.0,4000.0,1380.0,4800.0,Feuil1
سردينة,sardine,,,,3000.0,4000.0,Feuil1
شورو,saurel,,,,4500.0,6000.0,Feuil1
غزال,Gazel,,,,,,Feuil1
نزالي,Nazali,,,,5600.0,11800.0,Feuil1
ورقة,Dorade,,,,10800.0,13800.0,Feuil1
بوري,Bouri,,,,6800.0,11800.0,Feuil1
