النوع,variete,الكمية_بالطن,سعر_الجملة_الادنى,سعر_الجملة_الاقصى,سعر_التفصيل_الادنى,سعر_التفصيل_الاقصى,feuille
البطاطا,pomme de terre,31.2,1000.0,1800.0,1200.0,2200.0,Feuil1
البصل,oignon sec,18,800.0,1000.0,1000.0,1280.0,Feuil1
,oignon vert,15,600.0,800.0,800.0,1120.0,Feuil1
فلفل حار,piment piquant,12,1200.0,1600.0,1500.0,2200.0,Feuil1
فلفل حلو,piment doux,5.3,1400.0,2000.0,1600.0,2180.0,Feuil1
الطماطم,tomate,6.3,800.0,1200.0,1180.0,1680.0,Feuil1
لوبية حمراء,Haricot en gousse,3.4,2800.0,3300.0,3400.0,3980.0,Feuil1
جزر,Carottes,9.5,400.0,800.0,600.0,1200.0,Feuil1
لفت,Navets,1.2,600.0,850.0,850.0,1180.0,Feuil1
بروكلو,Choux Fleur,5.6,500.0,600.0,700.0,850.0,Feuil1
كرمب,Choux,7.8,400.0,600.0,600.0,950.0,Feuil1
قنارية,Artichaut,Douzaine,6000.0,9000.0,9000.0,12000.0,Feuil1
رمان,Grenade,11.5,600.0,1600.0,1400.0,2180.0,Feuil1
برتقال طمسون,thomson,,,,,,Feuil1
برتقال مالطي,maltaise,,,,,,Feuil1
كليمنتين(شنوة),clémentine,6.2,1600.0,3500.0,2500.0,4200.0,Feuil1
تفاح,pommes,12.8,1200.0,4000.0,1480.0,4600.0,Feuil1
اجاص,poires,6.9,600.0,3200.0,1380.0,3800.0,Feuil1
سردينة,sardine,,,,4000.0,4000.0,Feuil1
شورو,saurel,,,,5500.0,6800.0,Feuil1
غزال,Gazel,,,,10800.0,10800.0,Feuil1
نزالي,Nazali,,,,6800.0,11800.0,Feuil1
ورقة,Dorade,,,,10800.0,14800.0,Feuil1
بوري,Bouri,,,,6800.0,11800.0,Feuil1
