النوع,variete,سعر_التفصيل_الادنى,سعر_التفصيل_الاقصى,feuille
البطاطا,pomme de terre,1800.0,2600.0,Feuil1
البصل,oignon sec,1000.0,1280.0,Feuil1
,oignon vert,750.0,1000.0,Feuil1
فلفل حار,piment piquant,1600.0,2600.0,Feuil1
فلفل حلو,piment doux,1800.0,1400.0,Feuil1
لوبية حمراء,Haricot en gousse,3400.0,3980.0,Feuil1
جزر,Carottes,600.0,1180.0,Feuil1
لفت,Navets,980.0,1180.0,Feuil1
بروكلو,Choux Fleur,750.0,980.0,Feuil1
كرمب,Choux,500.0,750.0,Feuil1
قنارية,Artichaut,8000.0,12000.0,Feuil1
الطماطم,tomate,1180.0,2200.0,Feuil1
رمان,Grenade,1200.0,2480.0,Feuil1
برتقال طمسون,thomson,600.0,1560.0,Feuil1
برتقال مالطي,maltaise,,,Feuil1
كليمنتين(شنوة),clémentine,1400.0,3600.0,Feuil1
دقلة,Dattes,4000.0,8500.0,Feuil1
تفاح,pommes,1200.0,4800.0,Feuil1
اجاص,poires,1380.0,3800.0,Feuil1
سردينة,sardine,4000.0,4000.0,Feuil1
شورو,saurel,5600.0,6800.0,Feuil1
غزال,Gazel,,,Feuil1
نزالي,Nazali,6800.0,14800.0,Feuil1
ورقة,Dorade,11800.0,14200.0,Feuil1
بوري,Bouri,7800.0,11800.0,Feuil1
