النوع,variete,الكمية_بالطن,سعر_الجملة_الادنى,سعر_الجملة_الاقصى,سعر_التفصيل_الادنى,سعر_التفصيل_الاقصى,feuille
بطاطا,pomme de terre,22.4,1200,1300,1400.0,1600.0,Feuil1
بصل,oignon sec,6.1,1400,1400,1650.0,1680.0,Feuil1
,oignon vert,22.6,500,850,750.0,1050.0,Feuil1
فلفل حار,piment piquant,10.4,1800,2400,2080.0,2860.0,Feuil1
فلفل حلو,piment doux,3.2,1800,2300,2180.0,2600.0,Feuil1
لوبية حمراء,Haricot en gousse,2.7,2000,3000,2400.0,3600.0,Feuil1
جزر,Carottes,19.5,600,900,800.0,1180.0,Feuil1
لفت,Navets,1.6,800,1000,1000.0,1280.0,Feuil1
بروكلو,Choux Fleur,16.7,600,1200,800.0,1480.0,Feuil1
كرمب,Choux,19.5,500,700,700.0,950.0,Feuil1
قنارية,Artichaut,Douzaine,3600,7000,5000.0,10000.0,Feuil1
طماطم,tomate,16.7,1000,1600,1180.0,1980.0,Feuil1
رمان,Grenade,10.5,1200,2500,1600.0,2980.0,Feuil1
,Citron,7.3,1400,1600,1680.0,2000.0,Feuil1
برتقال طمسون,thomson,22.1,800,2000,1000.0,2400.0,Feuil1
برتقال مالطي,maltaise,,,,,,Feuil1
كليمنتين (شنوة),clémentine,16.2,1600,3000,1980.0,3600.0,Feuil1
دقلة,Dattes,4.5,4000,8000,5000.0,10000.0,Feuil1
تفاح,pommes,13.2,1200,3600,1400.0,4500.0,Feuil1
اجاص,poires,,,,2600.0,4200.0,Feuil1
سردينة,sardine,,,,3500.0,4000.0,Feuil1
شورو,saurel,,,,5800.0,6800.0,Feuil1
غزال,Gazel,,,,7600.0,7600.0,Feuil1
نازلي,Nazali,,,,5600.0,11800.0,Feuil1
ورقة,Dorade,,,,11600.0,14800.0,Feuil1
بوري,Bouri,,,,8600.0,10800.0,Feuil1
