النوع,variete,الكمية_بالطن,سعر_الجملة_الادنى,سعر_الجملة_الاقصى,سعر_التفصيل_الادنى,سعر_التفصيل_الاقصى,feuille
البطاطا,pomme de terre,35,600,1000,800.0,1180.0,Feuil1
البصل,oignon sec,4.3,1000,1200,1260.0,1480.0,Feuil1
,oignon vert,42,600,800,800.0,1000.0,Feuil1
فلفل حار,piment piquant,10.4,1600,1700,1800.0,1960.0,Feuil1
فلفل حلو,piment doux,,,,,,Feuil1
لوبية حمراء,Haricot en gousse,4.6,2500,3500,3000.0,4200.0,Feuil1
جلبانة,Petit pois,15.4,1800,2400,2200.0,2800.0,Feuil1
جزر,Carottes,42,600,800,800.0,1200.0,Feuil1
لفت,Navets,7.5,800,1000,1000.0,1280.0,Feuil1
بروكلو,Choux fleur,12.4,400,900,600.0,1200.0,Feuil1
كرمب,Choux,14,350,600,500.0,800.0,Feuil1
قنارية,Artichaut,Douzaine,3000,4000,4000.0,6000.0,Feuil1
طماطم,Tomate,21.5,900,1200,1180.0,1480.0,Feuil1
ليمون,Citron,12,900,1200,1180.0,1480.0,Feuil1
برتقال طمسون,thomson,26.3,800,2000,1000.0,2600.0,Feuil1
برتقال مالطي,maltaise,28,600,1200,800.0,1600.0,Feuil1
كليمنتين(شنوة),clémentine,1.6,3500,4000,4200.0,4800.0,Feuil1
دقلة,Dattes,5.3,4000,8000,6000.0,12000.0,Feuil1
تفاح,pommes,20.5,1200,4000,1800.0,5600.0,Feuil1
اجاص,poires,,,,,,Feuil1
سردينة,sardine,,,,3500.0,4000.0,Feuil1
شورو,saurel,,,,5600.0,6800.0,Feuil1
غزال,Gazel,,,,,,Feuil1
نزالي,Nazali,,,,5800.0,11800.0,Feuil1
ورقة,Dorade,,,,11400.0,14800.0,Feuil1
بوري,Bouri,,,,8600.0,12800.0,Feuil1
