النوع,variete,الكمية_بالطن,سعر_الجملة_الادنى,سعر_الجملة_الاقصى,سعر_التفصيل_الادنى,سعر_التفصيل_الاقصى,feuille
بطاطا,pomme de terre,23.8,1100,1400,1400.0,1700.0,Feuil1
بصل,oignon sec,5.9,1100,1300,1550.0,1580.0,Feuil1
,oignon vert,41.5,500,850,750.0,1050.0,Feuil1
فلفل حار,piment piquant,11.3,1800,2400,2080.0,2860.0,Feuil1
فلفل حلو,piment doux,3.6,1800,2300,2180.0,2600.0,Feuil1
لوبية حمراء,Haricot en gousse,2.4,2200,3000,2500.0,3600.0,Feuil1
جزر,Carottes,31.5,600,900,800.0,1180.0,Feuil1
لفت,Navets,4.1,800,1000,1000.0,1280.0,Feuil1
بروكلو,Choux Fleur,22.4,600,1200,800.0,1480.0,Feuil1
كرمب,Choux,19.3,500,700,700.0,950.0,Feuil1
قنارية,Artichaut,Douzaine,4000,8000,6000.0,12000.0,Feuil1
طماطم,tomate,16.7,1200,1600,1380.0,1980.0,Feuil1
رمان,Grenade,14.3,1000,2000,1400.0,2600.0,Feuil1
,Citron,8.6,1000,1200,1280.0,1480.0,Feuil1
برتقال طمسون,thomson,21.4,600,1400,800.0,1680.0,Feuil1
برتقال مالطي,maltaise,,,,,,Feuil1
كليمنتين (شنوة),clémentine,16.5,1600,2500,1980.0,3000.0,Feuil1
دقلة,Dattes,5.6,4000,8000,5000.0,10000.0,Feuil1
تفاح,pommes,13.7,1200,3600,1400.0,4500.0,Feuil1
اجاص,poires,,,,1680.0,3600.0,Feuil1
سردينة,sardine,,,,3500.0,4000.0,Feuil1
شورو,saurel,,,,5600.0,6800.0,Feuil1
غزال,Gazel,,,,,,Feuil1
نازلي,Nazali,,,,5600.0,11800.0,Feuil1
ورقة,Dorade,,,,11600.0,14800.0,Feuil1
بوري,Bouri,,,,7600.0,10800.0,Feuil1
