النوع,variete,الكمية_بالطن,سعر_الجملة_الادنى,سعر_الجملة_الاقصى,سعر_التفصيل_الادنى,سعر_التفصيل_الاقصى,feuille
البطاطا,pomme de terre,4.2,1000.0,1800.0,1200.0,2200.0,Feuil1
البصل,oignon sec,12.5,600.0,900.0,900.0,1480.0,Feuil1
,oignon vert,10.5,400.0,900.0,600.0,1120.0,Feuil1
فلفل حار,piment piquant,11.2,800.0,1500.0,1180.0,1980.0,Feuil1
فلفل حلو,piment doux,2.4,1000.0,1700.0,1400.0,2180.0,Feuil1
الطماطم,tomate,12.6,600.0,1100.0,1080.0,1380.0,Feuil1
لوبية حمراء,Haricot en gousse,3.5,2800.0,3300.0,3400.0,3980.0,Feuil1
جزر,Carottes,6.4,400.0,900.0,600.0,1200.0,Feuil1
فجل,Navets,2.1,600.0,1000.0,850.0,1180.0,Feuil1
برتقال طمسون,thomson,,,,,,Feuil1
برتقال مالطي,maltaise,,,,,,Feuil1
كليمنتين(شنوة),clémentine,2.8,2000.0,3000.0,2500.0,3600.0,Feuil1
تفاح,pommes,15.4,1000.0,3800.0,1000.0,4600.0,Feuil1
اجاص,poires,4.3,1000.0,4000.0,1380.0,4800.0,Feuil1
سردينة,sardine,,,,3000.0,4000.0,Feuil1
شورو,saurel,,,,4500.0,6000.0,Feuil1
غزال,Gazel,,,,,,Feuil1
نزالي,Nazali,,,,5600.0,11800.0,Feuil1
ورقة,Dorade,,,,10800.0,13800.0,Feuil1
بوري,Bouri,,,,6800.0,11800.0,Feuil1
