النوع,variete,الكمية_بالطن,سعر_الجملة_الادنى,سعر_الجملة_الاقصى,سعر_التفصيل_الادنى,سعر_التفصيل_الاقصى,feuille
البطاطا,pomme de terre,26.5,1000.0,1800.0,1200.0,2200.0,Feuil1
البصل,oignon sec,12,800.0,1000.0,1000.0,1280.0,Feuil1
,oignon vert,16.2,500.0,800.0,750.0,1120.0,Feuil1
فلفل حار,piment piquant,6.8,1200.0,1600.0,1480.0,2200.0,Feuil1
فلفل حلو,piment doux,3.5,1400.0,2000.0,1600.0,2280.0,Feuil1
لوبية حمراء,Haricot en gousse,2.8,2800.0,3100.0,3400.0,3800.0,Feuil1
جزر,Carottes,10.2,400.0,800.0,600.0,1180.0,Feuil1
لفت,Navets,2.2,750.0,850.0,980.0,1180.0,Feuil1
بروكلو,Choux Fleur,8.8,500.0,600.0,750.0,1180.0,Feuil1
كرمب,Choux,10.2,400.0,600.0,600.0,950.0,Feuil1
قنارية,Artichaut,Douzaine,6000.0,9000.0,9000.0,12000.0,Feuil1
الطماطم,tomate,6.4,1000.0,1400.0,1280.0,1880.0,Feuil1
رمان,Grenade,16.5,800.0,1800.0,1400.0,2480.0,Feuil1
برتقال طمسون,thomson,12.1,400.0,1200.0,600.0,1560.0,Feuil1
برتقال مالطي,maltaise,,,,,,Feuil1
كليمنتين(شنوة),clémentine,8.1,1200.0,3300.0,1800.0,3980.0,Feuil1
دقلة,Dattes,10.4,4000.0,7500.0,5000.0,9000.0,Feuil1
تفاح,pommes,13.5,800.0,4000.0,1200.0,4800.0,Feuil1
اجاص,poires,2.6,700.0,3200.0,1380.0,3800.0,Feuil1
سردينة,sardine,,,,3500.0,4000.0,Feuil1
شورو,saurel,,,,5000.0,6800.0,Feuil1
غزال,Gazel,,,,,,Feuil1
نزالي,Nazali,,,,5800.0,12800.0,Feuil1
ورقة,Dorade,,,,11800.0,13800.0,Feuil1
بوري,Bouri,,,,7800.0,10600.0,Feuil1
