النوع,variete,الكمية_بالطن,سعر_الجملة_الادنى,سعر_الجملة_الاقصى,سعر_التفصيل_الادنى,سعر_التفصيل_الاقصى,feuille
بطاطا,pomme de terre,,,,1200.0,1400.0,Feuil1
بصل,oignon sec,,,,1300.0,1580.0,Feuil1
,oignon vert,,,,800.0,1100.0,Feuil1
فلفل حار,piment piquant,,,,1600.0,2200.0,Feuil1
فلفل حلو,piment doux,,,,1600.0,2400.0,Feuil1
لوبية حمراء,Haricot en gousse,,,,2500.0,3200.0,Feuil1
جزر,Carottes,,,,600.0,800.0,Feuil1
لفت,Navets,,,,600.0,900.0,Feuil1
بروكلو,Choux Fleur,,,,600.0,800.0,Feuil1
كرمب,Choux,,,,600.0,750.0,Feuil1
قنارية,Artichaut,,,,5000.0,8000.0,Feuil1
طماطم,tomate,,,,800.0,1200.0,Feuil1
رمان,Grenade,,,,1400.0,3200.0,Feuil1
,Citron,,,,1000.0,1600.0,Feuil1
برتقال طمسون,thomson,,,,1200.0,2000.0,Feuil1
برتقال مالطي,maltaise,,,,,,Feuil1
كليمنتين (شنوة),clémentine,,,,2000.0,3600.0,Feuil1
دقلة,Dattes,,,,5000.0,10000.0,Feuil1
تفاح,pommes,,,,1200.0,4500.0,Feuil1
اجاص,poires,,,,1200.0,3600.0,Feuil1
سردينة,sardine,,,,3500.0,4000.0,Feuil1
شورو,saurel,,,,5600.0,6800.0,Feuil1
غزال,Gazel,,,,,,Feuil1
نازلي,Nazali,,,,6800.0,10800.0,Feuil1
ورقة,Dorade,,,,10400.0,14800.0,Feuil1
بوري,Bouri,,,,6800.0,11800.0,Feuil1
