النوع,variete,الكمية_بالطن,سعر_الجملة_الادنى,سعر_الجملة_الاقصى,سعر_التفصيل_الادنى,سعر_التفصيل_الاقصى,feuille
البطاطا,pomme de terre,21.5,1800.0,2200.0,2200.0,2500.0,Feuil1
البصل,oignon sec,11.3,1000.0,1200.0,1200.0,1480.0,Feuil1
,oignon vert,31.4,700.0,1000.0,900.0,1280.0,Feuil1
فلفل حار,piment piquant,11.2,1600.0,2100.0,1900.0,2600.0,Feuil1
فلفل حلو,piment doux,,,,1980.0,2480.0,Feuil1
لوبية حمراء,Haricot en gousse,2.4,2200.0,2800.0,2600.0,3300.0,Feuil1
جزر,Carottes,12.4,600.0,1000.0,750.0,1280.0,Feuil1
لفت,Navets,6.2,850.0,1000.0,1000.0,1180.0,Feuil1
بروكلو,Choux Fleur,16.8,600.0,1000.0,800.0,1280.0,Feuil1
كرمب,Choux,12.4,500.0,700.0,750.0,950.0,Feuil1
قنارية,Artichaut,Douzaine,6000.0,9000.0,9000.0,12000.0,Feuil1
الطماطم,tomate,21.2,450.0,700.0,650.0,1180.0,Feuil1
رمان,Grenade,26.1,900.0,2000.0,1400.0,2480.0,Feuil1
,Citron,24.7,800.0,1000.0,1050.0,1280.0,Feuil1
برتقال طمسون,thomson,21.9,600.0,1200.0,850.0,1560.0,Feuil1
برتقال مالطي,maltaise,,,,,,Feuil1
كليمنتين(شنوة),clémentine,12.8,1600.0,3300.0,1980.0,3980.0,Feuil1
دقلة,Dattes,8.4,4000.0,8000.0,5000.0,10000.0,Feuil1
تفاح,pommes,21.8,1000.0,3800.0,1280.0,4500.0,Feuil1
اجاص,poires,2.1,1200.0,3000.0,1480.0,3600.0,Feuil1
سردينة,sardine,,,,3500.0,4000.0,Feuil1
شورو,saurel,,,,5600.0,6800.0,Feuil1
غزال,Gazel,,,,,,Feuil1
نزالي,Nazali,,,,5800.0,11800.0,Feuil1
ورقة,Dorade,,,,11800.0,14500.0,Feuil1
بوري,Bouri,,,,6800.0,11800.0,Feuil1
