النوع,variete,سعر_التفصيل_الادنى,سعر_التفصيل_الاقصى,feuille
البطاطا,pomme de terre,1200.0,2200.0,Feuil1
البصل,oignon sec,1000.0,1280.0,Feuil1
,oignon vert,800.0,1120.0,Feuil1
فلفل حار,piment piquant,1200.0,2400.0,Feuil1
فلفل حلو,piment doux,1600.0,2280.0,Feuil1
الطماطم,tomate,1180.0,2280.0,Feuil1
لوبية حمراء,Haricot en gousse,3000.0,3980.0,Feuil1
جزر,Carottes,600.0,1000.0,Feuil1
لفت,Navets,850.0,1180.0,Feuil1
بروكلو,Choux Fleur,700.0,980.0,Feuil1
كرمب,Choux,600.0,750.0,Feuil1
قنارية,Artichaut,9000.0,12000.0,Feuil1
رمان,Grenade,1200.0,2890.0,Feuil1
برتقال طمسون,thomson,,,Feuil1
برتقال مالطي,maltaise,,,Feuil1
كليمنتين(شنوة),clémentine,2500.0,4200.0,Feuil1
تفاح,pommes,1200.0,4500.0,Feuil1
اجاص,poires,1380.0,3800.0,Feuil1
سردينة,sardine,3500.0,4000.0,Feuil1
شورو,saurel,5500.0,6800.0,Feuil1
غزال,Gazel,,,Feuil1
نزالي,Nazali,5800.0,11800.0,Feuil1
ورقة,Dorade,11800.0,13600.0,Feuil1
بوري,Bouri,5600.0,10800.0,Feuil1
