annee,delegation,nom_centre,capacite_colletce_litre_jour,quantite_collectee_tonne,quantite_industrialisee_tonne,gestionnaire,feuille
2023,الكاف الشرقية,الزعفران,0,,,غلق نهائي,Feuil1
2023,الكاف الغربية,,0,0.0,0.0,,Feuil1
2023,الدهمانـي,شركة كمال الخماسي,7500,966.999,963.903,شركة كمال الخماسي,Feuil1
2023,تاجرويـن,جزة,0,0.0,0.0,,Feuil1
2023,السـرس,"شركة الخدمات الفلاحية ""الوصال""",15000,2515.522,2476.101,"شركة  الخدمات الفلاحية"" الوصال""",Feuil1
2023,القصور,البكوش,10000,3881.824,3834.955,شركة نزار البكـوش,Feuil1
2023,الجريصـة,,0,0.0,0.0,,Feuil1
2023,قلعة سنان,,0,0.0,0.0,,Feuil1
2023,القلعة الخصبـاء,,0,0.0,0.0,,Feuil1
2023,نبــر,سيدي خيار,18000,5011.805,4979.043,شركة الحليب و مشتقاته,Feuil1
2023,الساقية,,0,,,,Feuil1
2023,الطويرف,,0,,,,Feuil1
2023,كامــل الولاية,4,50500,12376.15,12254.002,,Feuil1
2024,-الكاف الشرقية,الزعفران,0,,,غلق نهائي,Feuil1
2024,-الكاف الغربية,,0,0.0,0.0,,Feuil1
2024,-الدهمانـي,شركة الدهماني لتجميع الحليب,7500,2298.152,2267.606,شركة الدهماني لتجميع الحليب,Feuil1
2024,-تاجرويـن,جزة,0,0.0,0.0,,Feuil1
2024,-السـرس,"شركة الخدمات الفلاحية ""الوصال""",15000,3391.961,3369.957,"شركة  الخدماتالفلاحية"" الوصال""",Feuil1
2024,القصور,البكوش,10000,3500.046,3465.769,شركة نزار البكـوش,Feuil1
2024,-الجريصـة,,0,0.0,0.0,,Feuil1
2024,-قلعة سنان,,0,0.0,0.0,,Feuil1
2024,-القلعة الخصبـاء,,0,0.0,0.0,,Feuil1
2024,-نبــر,سيدي خيار,18000,5621.788,5579.895,شركةالحليب و مشتقاته,Feuil1
2024,الساقية,,0,,,,Feuil1
2024,الطويرف,,0,,,,Feuil1
2024,كامــل الولاية:,4,50500,14811.947,14683.227,,Feuil1
