annee,delegation,nombre,superficie_ha,mode_location,investissement_approuve_mille_dinars,investissement_realise_mille_dinars,nbre_emplois,remarques,feuille
2023,-الكاف الشرقية,26,274.0,كراء,,,,,Feuil1
2023,-الكاف الغربية,0,0.0,,,,,,Feuil1
2023,-الدهمانـي,0,0.0,,,,,,Feuil1
2023,-تاجرويـن,1,5.92,,,,,,Feuil1
2023,-السـرس,11,102.0,,,,,,Feuil1
2023,- القصور,0,0.0,,,,,,Feuil1
2023,-قلعة سنان,0,0.0,,,,,,Feuil1
2023,-القلعة الخصبـاء,0,0.0,,,,,,Feuil1
2023,الجريصة,0,0.0,,,,,,Feuil1
2023,-نبــر,10,81.0,كراء,,,,,Feuil1
2023,- الطويرف,0,0.0,,,,,,Feuil1
2023,-الساقية,13,84.0,,,,,,Feuil1
2023,كامل الولاية,61,546.92,,,,,,Feuil1
2024,-الكاف الشرقية,5,585.0,كراء,1222,1325,,مقاسم مستغلة بصفة جيدة,Feuil1
2024,-الكاف الغربية,1,194.0,كراء,78,14,,مقاسم في حالة متواضعة (نتيجة تعاقب سنوات الجفاف),Feuil1
2024,-الدهمانـي,1,82.6,كراء,98,163,,مقسم ذو نشاط محدود نتيجة ضعف منسوب الماء,Feuil1
2024,-تاجرويـن,5,542.3,كراء,258,18,,مقاسم ذو إستغلال ضعيف نتيجة تعاقب سنوات الجفاف الإستغلال ضعيف,Feuil1
2024,-السـرس,1,100.0,كراء,66,13,,مقسم ذو نشاط متواضع,Feuil1
2024,- القصور,0,0.0,,,0,,,Feuil1
2024,-قلعة سنان,0,0.0,,,0,,,Feuil1
2024,-القلعة الخصبـاء,0,0.0,,,0,,,Feuil1
2024,-نبــر,0,0.0,,,0,,,Feuil1
2024,- الطويرف,0,0.0,,,0,,,Feuil1
2024,الساقية,0,0.0,,,0,,,Feuil1
2024,كامل الولاية,13,1503.9,,1722,1533,,,Feuil1
